question,label
Quanti crediti servono per iscriversi al secondo anno?,simple
Quando si svolge la sessione autunnale?,simple
Qual è la scadenza per il pagamento delle tasse universitarie?,simple
Dove si trova la segreteria studenti?,simple
Qual è il voto minimo per superare l'esame?,simple
Quanti appelli sono previsti per ogni esame?,simple
Qual è la durata di una lezione tipica?,simple
Quando scadono le iscrizioni agli esami?,simple
Qual è il numero massimo di crediti per semestre?,simple
Qual è il codice del corso di statistica?,simple
Quando inizia il semestre primaverile?,simple
Quanti studenti sono iscritti al corso?,simple
Qual è il costo della tassa di iscrizione?,simple
Qual è il sito ufficiale dell'università?,simple
Qual è il nome del preside di facoltà?,simple
Dove posso trovare il calendario accademico?,simple
Qual è la durata della sessione estiva?,simple
Qual è il termine per presentare la domanda di laurea?,simple
Qual è il numero di telefono della segreteria?,simple
Quanti anni dura il corso di laurea triennale?,simple
Come posso organizzare il piano di studi per laurearmi in 3 anni?,complex
Quali esami posso sostenere in parallelo senza problemi di sovrapposizioni?,complex
"Se salto l'esame di statistica a giugno, quando posso riprovare e quali sono le conseguenze?",complex
Come posso recuperare un esame non superato senza ritardare la laurea?,complex
Quali strategie posso adottare per migliorare la media voti?,complex
Come posso conciliare lavoro e studio durante il semestre?,complex
Quali sono i passi per cambiare corso di laurea senza perdere crediti?,complex
Come posso pianificare gli esami per evitare sovrapposizioni e ritardi?,complex
Quali sono i vantaggi e gli svantaggi di scegliere un curriculum internazionale?,complex
Come posso ottenere una borsa di studio e quali sono i requisiti?,complex
Quali sono le migliori strategie per preparare più esami nello stesso periodo?,complex
Come posso integrare un'esperienza di tirocinio nel mio percorso di studi?,complex
Cosa succede se non supero un esame obbligatorio entro il secondo anno?,complex
Quali sono le procedure per il riconoscimento di esami sostenuti all'estero?,complex
Come posso pianificare la laurea magistrale dopo la triennale?,complex
Quali sono le differenze tra i vari indirizzi del corso di laurea?,complex
Come posso gestire il carico di studio durante la sessione d'esami?,complex
Quali sono le opportunità di scambio internazionale e come candidarsi?,complex
Come posso recuperare crediti formativi mancanti?,complex
Quali sono i passaggi per richiedere il trasferimento ad un altro ateneo?,complex
