question,label
Quanti crediti servono per iscriversi al secondo anno?,simple
Quando si svolge la sessione autunnale?,simple
Qual è la scadenza per il pagamento delle tasse universitarie?,simple
Dove si trova la segreteria studenti?,simple
Qual è il voto minimo per superare l'esame?,simple
Quanti appelli sono previsti per ogni esame?,simple
Qual è la durata di una lezione tipica?,simple
Quando scadono le iscrizioni agli esami?,simple
Qual è il numero massimo di crediti per semestre?,simple
Qual è il codice del corso di statistica?,simple
Quando inizia il semestre primaverile?,simple
Quanti studenti sono iscritti al corso?,simple
Qual è il costo della tassa di iscrizione?,simple
Qual è il sito ufficiale dell'università?,simple
Qual è il nome del preside di facoltà?,simple
Dove posso trovare il calendario accademico?,simple
Qual è la durata della sessione estiva?,simple
Qual è il termine per presentare la domanda di laurea?,simple
Qual è il numero di telefono della segreteria?,simple
Quanti anni dura il corso di laurea triennale?,simple
Qual è l'orario di apertura della biblioteca centrale?,simple
Dove posso trovare il regolamento degli esami?,simple
Chi è il responsabile del corso di matematica?,simple
Quando iniziano le lezioni del secondo semestre?,simple
Qual è la durata di una lezione frontale?,simple
Quanti crediti sono necessari per accedere alla tesi?,simple
Dove si svolgono le lezioni di informatica?,simple
Qual è la procedura per iscriversi a un appello?,simple
Qual è il numero di studenti ammessi al corso?,simple
Quando vengono pubblicati i risultati degli esami?,simple
Qual è la data di inizio delle lezioni?,simple
Dove posso trovare il programma dettagliato del corso?,simple
Chi è il referente per gli studenti Erasmus?,simple
Qual è il codice identificativo del corso di laurea?,simple
Quanti crediti sono previsti per la prova finale?,simple
Qual è la durata di un laboratorio?,simple
Dove si trova l’aula magna?,simple
Qual è il sito per iscriversi agli appelli?,simple
Quando si tengono le sessioni di laurea?,simple
Qual è il termine per la consegna della tesi?,simple
Qual è la durata di una sessione d'esame?,simple
Dove posso trovare l'elenco dei corsi opzionali?,simple
Qual è il termine per iscriversi al prossimo semestre?,simple
Quanti crediti servono per accedere alla magistrale?,simple
Qual è il numero massimo di esami per sessione?,simple
Dove si trova la mensa universitaria?,simple
Qual è il costo del badge universitario?,simple
Quando si svolgono le prove intermedie?,simple
Qual è il sito per consultare gli orari delle lezioni?,simple
Chi è il docente di riferimento per il corso di inglese?,simple
Qual è la durata di una sessione di laurea?,simple
Dove posso trovare il calendario delle lezioni?,simple
Qual è il termine per iscriversi agli esami?,simple
Quanti crediti sono richiesti per la laurea magistrale?,simple
Qual è il costo della mensa universitaria?,simple
Quando si svolgono le lezioni del primo semestre?,simple
Qual è il numero di studenti iscritti quest'anno?,simple
Dove si trova l’ufficio stage?,simple
Qual è la procedura per richiedere un certificato di iscrizione?,simple
Qual è l’indirizzo email della segreteria?,simple
Qual è la procedura per richiedere il rimborso delle tasse?,simple
Quando si svolgono le sessioni di laurea straordinarie?,simple
Qual è il termine per la presentazione del piano di studi?,simple
Dove posso trovare il regolamento della biblioteca?,simple
Qual è il numero di crediti per i corsi a scelta?,simple
Qual è la scadenza per la domanda di borsa di studio?,simple
Dove si trova l’ufficio relazioni internazionali?,simple
Qual è il costo per il rilascio del diploma?,simple
Quando si tengono le lezioni di recupero?,simple
Qual è il sito per prenotare le aule studio?,simple
Qual è la durata di un esame orale?,simple
Dove posso trovare l’elenco dei docenti?,simple
Qual è il termine per iscriversi al test di ingresso?,simple
Qual è il numero massimo di studenti per laboratorio?,simple
Quando vengono pubblicati gli orari delle lezioni?,simple
Qual è la procedura per cambiare gruppo di esercitazione?,simple
Qual è il costo della tessera mensa?,simple
Dove posso trovare il calendario degli appelli?,simple
Qual è la durata di una sessione straordinaria?,simple
Quando si svolgono le prove di idoneità linguistica?,simple
Come posso organizzare il piano di studi per laurearmi in 3 anni?,complex
Quali esami posso sostenere in parallelo senza problemi di sovrapposizioni?,complex
"Se salto l'esame di statistica a giugno, quando posso riprovare e quali sono le conseguenze?",complex
Come posso recuperare un esame non superato senza ritardare la laurea?,complex
Quali strategie posso adottare per migliorare la media voti?,complex
Come posso conciliare lavoro e studio durante il semestre?,complex
Quali sono i passi per cambiare corso di laurea senza perdere crediti?,complex
Come posso pianificare gli esami per evitare sovrapposizioni e ritardi?,complex
Quali sono i vantaggi e gli svantaggi di scegliere un curriculum internazionale?,complex
Come posso ottenere una borsa di studio e quali sono i requisiti?,complex
Quali sono le migliori strategie per preparare più esami nello stesso periodo?,complex
Come posso integrare un'esperienza di tirocinio nel mio percorso di studi?,complex
Cosa succede se non supero un esame obbligatorio entro il secondo anno?,complex
Quali sono le procedure per il riconoscimento di esami sostenuti all'estero?,complex
Come posso pianificare la laurea magistrale dopo la triennale?,complex
Quali sono le differenze tra i vari indirizzi del corso di laurea?,complex
Come posso gestire il carico di studio durante la sessione d'esami?,complex
Quali sono le opportunità di scambio internazionale e come candidarsi?,complex
Come posso recuperare crediti formativi mancanti?,complex
Quali sono i passaggi per richiedere il trasferimento ad un altro ateneo?,complex
Come posso conciliare uno stage curriculare con gli esami?,complex
Quali sono i criteri per ottenere una doppia laurea?,complex
Come posso recuperare un esame opzionale non superato?,complex
Quali strategie posso adottare per preparare esami orali e scritti insieme?,complex
Come posso pianificare il mio percorso per laurearmi con lode?,complex
Quali sono le conseguenze di un cambio di piano di studi a metà anno?,complex
Come posso integrare attività extracurriculari nel piano di studi?,complex
Quali sono i vantaggi di partecipare a un programma Erasmus?,complex
Come posso gestire il carico di studio lavorando part-time?,complex
Quali passi seguire per iscriversi a un master dopo la laurea?,complex
Come posso anticipare alcuni esami del secondo anno?,complex
Quali sono i rischi di sostenere troppi esami nello stesso semestre?,complex
Come posso ottenere un tutorato personalizzato?,complex
Quali strategie adottare per migliorare la gestione del tempo?,complex
Come posso recuperare una materia propedeutica non superata?,complex
Quali sono i vantaggi di scegliere un tirocinio all’estero?,complex
Come posso cambiare curriculum senza perdere esami già sostenuti?,complex
Quali sono le procedure per la convalida di esami da altri atenei?,complex
Come posso pianificare uno scambio internazionale senza ritardare la laurea?,complex
Quali sono le migliori tecniche per preparare esami orali complessi?,complex
Come posso recuperare un esame dopo averlo rifiutato?,complex
Quali strategie adottare per superare più esami ravvicinati?,complex
Come posso organizzare uno scambio Erasmus senza perdere crediti?,complex
Quali sono le implicazioni di cambiare corso di laurea al secondo anno?,complex
Come posso pianificare la preparazione della tesi durante l’ultimo anno?,complex
Quali sono i passi per ottenere una certificazione linguistica riconosciuta?,complex
Come posso gestire il tirocinio obbligatorio insieme agli esami finali?,complex
Quali sono i vantaggi di iscriversi a un doppio titolo internazionale?,complex
Come posso integrare attività di volontariato nel piano di studi?,complex
Quali sono le procedure per il riconoscimento di crediti da esperienze lavorative?,complex
Come posso ottenere una proroga per la consegna della tesi?,complex
Quali sono i passaggi per cambiare indirizzo di studio?,complex
Come posso recuperare esami dopo una sospensione degli studi?,complex
Quali strategie adottare per preparare esami scritti e orali nello stesso periodo?,complex
